wallet,token_address,sol_value
EqGxUABycgf232LYFPViGnF7H6XJwqYY3JiXTBvkfLrq,JC3MaSFiZcdDecxFhZKtfULxnkUp9DPxdgwYHWHNpump,50.0
C2Mx5pVPUexpeYTWvSCiN9uiL7RyiBXRzGXns6duX9gG,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,300.0
J4JDNiKT3yu2zqDmxcLZQbxBefwd5nSP3Qhz4yEzA4uj,HB8KrN7Bb3iLWUPsozp67kS4gxtbA4W5QJX4wKPvpump,50.0
CreBFUdjMngkTRC5MHxryJnyWrGj9dXgYBuFWNFM45ET,FLqmVrv6cp7icjobpRMQJMEyjF3kF84QmC4HXpySpump,12.92
8zmNqF9LEYzTivu3UWrwD5RNn99mzW2FeraEUAJTyoWf,CNvitvFnSM5ed6K28RUNSaAjqqz5tX1rA5HgaBN9pump,10.0
CreBFUdjMngkTRC5MHxryJnyWrGj9dXgYBuFWNFM45ET,DQc6FTgu2HiB1PMUkHj8SATCtxsCeeMz5hiaqwk1pump,20.77
GQEi2a8yGGdmw5eHTdLbC5kzBbqopZHQu5ca58AsZ4Rd,6gd2K2p5CJWY6Lm5cJzGaFCjTY3dvNmh6483Rzu9pump,12.0
7BErGx2aX25Rap6oPYbD17oa9rDi25ySqtjibKCBLLUw,GxdTh6udNstGmLLk9ztBb6bkrms7oLbrJp5yzUaVpump,18.78
Ct5XRnQrEQjYjU1gLKtvcbcqvejBCh2zucMnzZqu97zF,ukHH6c7mMyiWCf1b9pnWe25TSpkDDt3H5pQZgZ74J82,85.5
3BYeKGqiZrLih9ztDeJ4FuHksSTjHWotcg6HqFMoXzEa,7wM4MnbsPsG95A3WhZgbrPWvMtydKmJjqKr2ZVJVpump,31.19
D5aK1tFi2qeWW3z72udE61YxcbMcdD1R5thkP6J61Doc,2qEHjDLDLbuBgRYvsxhc5D6uDWAivNFZGan56P1tpump,20.71
4Fa1ZhVHk9CKBiUUXUhFdr4PXy6XLpYk5co5nYKvqsN4,HwPtbFpd3VTe3tfyosoVtPf9WPuSk5gAKkN5xp6Npump,8.02
