score,wallet,gmgn,pumpfun,maxtenminutes,winrate,traded_token,port_token,num_inside,laitren80,avg_roi,latestmonth_avg_pnl_latestmonth,pnl_latestmonth,threemonths_avg_pnl_latestmonth,pnl_threemonths,concatenated_inside
9,FRT1fsCqDjCDAjtambYBSbjjcdxasDptgKTSWsyApZVt,"<a href=https://gmgn.ai/sol/address/FRT1fsCqDjCDAjtambYBSbjjcdxasDptgKTSWsyApZVt target=_blank"">🔎 </a>",0,0,22,22,22,1,0,-24,2089,45961.0,2089,45961.0,[scihub]
11,8zmNqF9LEYzTivu3UWrwD5RNn99mzW2FeraEUAJTyoWf,"<a href=https://gmgn.ai/sol/address/8zmNqF9LEYzTivu3UWrwD5RNn99mzW2FeraEUAJTyoWf target=_blank"">🔎 </a>",0,3,20,28,20,2,2,5,5100,101995.0,2470,51873.0,[FRED Pnut]
14,DYyzgwDGaN23gdr2C1xp35xojiDss9pUcYiY7wXqqknB,"<a href=https://gmgn.ai/sol/address/DYyzgwDGaN23gdr2C1xp35xojiDss9pUcYiY7wXqqknB target=_blank"">🔎 </a>",0,14,50,7,6,1,2,128,6384,38301.0,6384,38301.0,[LESTER]
13,EqGxUABycgf232LYFPViGnF7H6XJwqYY3JiXTBvkfLrq,"<a href=https://gmgn.ai/sol/address/EqGxUABycgf232LYFPViGnF7H6XJwqYY3JiXTBvkfLrq target=_blank"">🔎 </a>",2,8,15,35,32,1,4,123,7290,233277.0,7290,233277.0,[$RIF]
11,GQEi2a8yGGdmw5eHTdLbC5kzBbqopZHQu5ca58AsZ4Rd,"<a href=https://gmgn.ai/sol/address/GQEi2a8yGGdmw5eHTdLbC5kzBbqopZHQu5ca58AsZ4Rd target=_blank"">🔎 </a>",0,6,20,16,15,1,2,7,3442,51631.0,3442,51631.0,[🟥🟩]
13,C6Drpz3oe6ro6BSafMQJGt32LRrxDeDDdQQBZ2yhfwYi,"<a href=https://gmgn.ai/sol/address/C6Drpz3oe6ro6BSafMQJGt32LRrxDeDDdQQBZ2yhfwYi target=_blank"">🔎 </a>",0,0,36,11,11,2,2,9,9506,104564.0,9506,104564.0,[Ban 🦅]
13,8zMdhSMtycyeTkTWA1ECuZgGBi8fNKZEgpVR2zAc7J15,"<a href=https://gmgn.ai/sol/address/8zMdhSMtycyeTkTWA1ECuZgGBi8fNKZEgpVR2zAc7J15 target=_blank"">🔎 </a>",21,11,26,101,89,9,13,13,6003,534234.0,6003,534234.0,[Cupsey ANTI $RIF OBOT PRO BITCAT @DOGE Pnut SOLARIS]
11,12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd,"<a href=https://gmgn.ai/sol/address/12qSkd8fv9uvwWiDKmkDVMqfV59bMHKZE7iBAfDUbWKd target=_blank"">🔎 </a>",0,16,30,12,10,1,2,52,5294,52935.0,4757,52330.0,[Pnut]
9,7BErGx2aX25Rap6oPYbD17oa9rDi25ySqtjibKCBLLUw,"<a href=https://gmgn.ai/sol/address/7BErGx2aX25Rap6oPYbD17oa9rDi25ySqtjibKCBLLUw target=_blank"">🔎 </a>",0,10,28,47,35,1,7,35,2153,75341.0,2001,76024.0,[Shoggoth]
13,2WJvjGFjZePB3sYrHKMBQd46o1TCS8zxchEHnDK7oBxQ,"<a href=https://gmgn.ai/sol/address/2WJvjGFjZePB3sYrHKMBQd46o1TCS8zxchEHnDK7oBxQ target=_blank"">🔎 </a>",2,8,24,75,69,4,10,26,6657,459359.0,6657,459359.0,[Cupsey 🦅 BUCK scihub]
5,92iYee4tHCanKiiCpFk3rvA89k466NjgVKojZkpJdcvj,"<a href=https://gmgn.ai/sol/address/92iYee4tHCanKiiCpFk3rvA89k466NjgVKojZkpJdcvj target=_blank"">🔎 </a>",0,0,25,16,16,1,1,-7,1719,27500.0,-2270,-40865.0,[Tate]
13,tduxG3xnyEBY7qt8k5ny8yNH1qWdcQiYTQjkieApnMX,"<a href=https://gmgn.ai/sol/address/tduxG3xnyEBY7qt8k5ny8yNH1qWdcQiYTQjkieApnMX target=_blank"">🔎 </a>",0,0,23,17,17,1,3,11,6205,105488.0,6205,105488.0,[TITS]
13,EtMUbaPw7rTJj2M6WrsEfhGAN9gSTLPJtQ21oLk1kfhP,"<a href=https://gmgn.ai/sol/address/EtMUbaPw7rTJj2M6WrsEfhGAN9gSTLPJtQ21oLk1kfhP target=_blank"">🔎 </a>",4,24,22,41,31,1,3,6,5072,157224.0,5072,157224.0,[BARSIK]
11,4Fa1ZhVHk9CKBiUUXUhFdr4PXy6XLpYk5co5nYKvqsN4,"<a href=https://gmgn.ai/sol/address/4Fa1ZhVHk9CKBiUUXUhFdr4PXy6XLpYk5co5nYKvqsN4 target=_blank"">🔎 </a>",0,8,18,50,43,2,4,-6,1638,70420.0,6901,317423.0,[MOODENG 🟥🟩]
17,C2Mx5pVPUexpeYTWvSCiN9uiL7RyiBXRzGXns6duX9gG,"<a href=https://gmgn.ai/sol/address/C2Mx5pVPUexpeYTWvSCiN9uiL7RyiBXRzGXns6duX9gG target=_blank"">🔎 </a>",0,20,75,5,4,0,0,17,47944,191777.0,47944,191777.0,<nil>
13,J4JDNiKT3yu2zqDmxcLZQbxBefwd5nSP3Qhz4yEzA4uj,"<a href=https://gmgn.ai/sol/address/J4JDNiKT3yu2zqDmxcLZQbxBefwd5nSP3Qhz4yEzA4uj target=_blank"">🔎 </a>",11,1,32,61,56,4,15,72,9794,548483.0,8971,547220.0,[pippin AVB vvaifu MATL]
9,59ecCTpb7yqC5qRe3hiZVRokJtUs3vXzLJGb13eeFSNE,"<a href=https://gmgn.ai/sol/address/59ecCTpb7yqC5qRe3hiZVRokJtUs3vXzLJGb13eeFSNE target=_blank"">🔎 </a>",0,0,25,19,16,1,0,-10,1712,27393.0,3809,72365.0,[FRED]
13,UMwb9RNCUM1uo3nbkpMyvdSnNjQW7sji9rdkyL4enLZ,"<a href=https://gmgn.ai/sol/address/UMwb9RNCUM1uo3nbkpMyvdSnNjQW7sji9rdkyL4enLZ target=_blank"">🔎 </a>",4,10,39,48,41,4,9,65,6816,279454.0,6502,286109.0,[LUCE $RIF $URO ZEREBRO]
13,DRai3W6pw7G7efwamvu4RZqjm8ztGuGfHLm5x5sQiVMA,"<a href=https://gmgn.ai/sol/address/DRai3W6pw7G7efwamvu4RZqjm8ztGuGfHLm5x5sQiVMA target=_blank"">🔎 </a>",0,15,28,64,49,2,7,75,3828,187578.0,7160,386639.0,[GOAT Pnut]
